query_id,question,method,top_paper_id,top_paper_title,top_page,hit_at_1,hit_at_3,reciprocal_rank,latency_ms
Q01,What is the key difference between scaled dot-product attention and multi-head attention in Transformer architecture?,dense_cosine,1706.03762,Attention Is All You Need,5,1,1,1.0,98.79
Q01,What is the key difference between scaled dot-product attention and multi-head attention in Transformer architecture?,mmr_lambda_0.7,1706.03762,Attention Is All You Need,5,1,1,1.0,26.64
Q01,What is the key difference between scaled dot-product attention and multi-head attention in Transformer architecture?,hybrid_dense_bm25_rrf,1706.03762,Attention Is All You Need,4,1,1,1.0,40.34
Q01,What is the key difference between scaled dot-product attention and multi-head attention in Transformer architecture?,hybrid_dense_bm25_rrf+reranker,1706.03762,Attention Is All You Need,4,1,1,1.0,717.98
Q02,How does BERT use Masked Language Modeling (MLM) and Next Sentence Prediction (NSP) for pre-training bidirectional representations?,dense_cosine,1810.04805,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,2,1,1,1.0,35.84
Q02,How does BERT use Masked Language Modeling (MLM) and Next Sentence Prediction (NSP) for pre-training bidirectional representations?,mmr_lambda_0.7,1810.04805,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,2,1,1,1.0,24.37
Q02,How does BERT use Masked Language Modeling (MLM) and Next Sentence Prediction (NSP) for pre-training bidirectional representations?,hybrid_dense_bm25_rrf,1810.04805,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,2,1,1,1.0,43.78
Q02,How does BERT use Masked Language Modeling (MLM) and Next Sentence Prediction (NSP) for pre-training bidirectional representations?,hybrid_dense_bm25_rrf+reranker,1810.04805,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,2,1,1,1.0,827.96
Q03,How does GPT-3 perform few-shot learning through in-context prompting without fine-tuning model weights?,dense_cosine,2005.14165,Language Models are Few-Shot Learners,5,1,1,1.0,24.57
Q03,How does GPT-3 perform few-shot learning through in-context prompting without fine-tuning model weights?,mmr_lambda_0.7,2005.14165,Language Models are Few-Shot Learners,5,1,1,1.0,24.08
Q03,How does GPT-3 perform few-shot learning through in-context prompting without fine-tuning model weights?,hybrid_dense_bm25_rrf,2005.14165,Language Models are Few-Shot Learners,5,1,1,1.0,39.0
Q03,How does GPT-3 perform few-shot learning through in-context prompting without fine-tuning model weights?,hybrid_dense_bm25_rrf+reranker,2005.14165,Language Models are Few-Shot Learners,5,1,1,1.0,649.36
Q04,Why does Sentence-BERT use a Siamese network architecture with mean pooling instead of standard BERT cross-encoding for semantic search?,dense_cosine,1908.10084,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,1,1,1,1.0,25.55
Q04,Why does Sentence-BERT use a Siamese network architecture with mean pooling instead of standard BERT cross-encoding for semantic search?,mmr_lambda_0.7,1908.10084,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,1,1,1,1.0,26.93
Q04,Why does Sentence-BERT use a Siamese network architecture with mean pooling instead of standard BERT cross-encoding for semantic search?,hybrid_dense_bm25_rrf,1908.10084,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,1,1,1,1.0,41.06
Q04,Why does Sentence-BERT use a Siamese network architecture with mean pooling instead of standard BERT cross-encoding for semantic search?,hybrid_dense_bm25_rrf+reranker,1908.10084,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,1,1,1,1.0,606.9
Q05,How does Dense Passage Retrieval (DPR) train dual encoders using in-batch negative passages to outperform BM25?,dense_cosine,2004.04906,Dense Passage Retrieval for Open-Domain Question Answering,5,1,1,1.0,25.87
Q05,How does Dense Passage Retrieval (DPR) train dual encoders using in-batch negative passages to outperform BM25?,mmr_lambda_0.7,2004.04906,Dense Passage Retrieval for Open-Domain Question Answering,5,1,1,1.0,25.84
Q05,How does Dense Passage Retrieval (DPR) train dual encoders using in-batch negative passages to outperform BM25?,hybrid_dense_bm25_rrf,2004.04906,Dense Passage Retrieval for Open-Domain Question Answering,5,1,1,1.0,41.53
Q05,How does Dense Passage Retrieval (DPR) train dual encoders using in-batch negative passages to outperform BM25?,hybrid_dense_bm25_rrf+reranker,2004.04906,Dense Passage Retrieval for Open-Domain Question Answering,5,1,1,1.0,847.82
Q06,How does Retrieval-Augmented Generation (RAG) combine a pre-trained parametric generator with a non-parametric dense retrieval index?,dense_cosine,2005.11401,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,9,1,1,1.0,26.05
Q06,How does Retrieval-Augmented Generation (RAG) combine a pre-trained parametric generator with a non-parametric dense retrieval index?,mmr_lambda_0.7,2005.11401,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,9,1,1,1.0,23.33
Q06,How does Retrieval-Augmented Generation (RAG) combine a pre-trained parametric generator with a non-parametric dense retrieval index?,hybrid_dense_bm25_rrf,2005.11401,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,9,1,1,1.0,40.66
Q06,How does Retrieval-Augmented Generation (RAG) combine a pre-trained parametric generator with a non-parametric dense retrieval index?,hybrid_dense_bm25_rrf+reranker,2005.11401,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,1,1,1,1.0,981.29
Q07,How does Chain-of-Thought (CoT) prompting enable large language models to solve multi-step mathematical and arithmetic reasoning problems?,dense_cosine,2201.11903,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,3,1,1,1.0,24.25
Q07,How does Chain-of-Thought (CoT) prompting enable large language models to solve multi-step mathematical and arithmetic reasoning problems?,mmr_lambda_0.7,2201.11903,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,3,1,1,1.0,24.44
Q07,How does Chain-of-Thought (CoT) prompting enable large language models to solve multi-step mathematical and arithmetic reasoning problems?,hybrid_dense_bm25_rrf,2201.11903,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,3,1,1,1.0,38.25
Q07,How does Chain-of-Thought (CoT) prompting enable large language models to solve multi-step mathematical and arithmetic reasoning problems?,hybrid_dense_bm25_rrf+reranker,2201.11903,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,8,1,1,1.0,525.11
Q08,"How does Toolformer autonomously decide when and how to call external APIs such as a calculator, Wikipedia search, or calendar?",dense_cosine,2302.04761,Toolformer: Language Models Can Teach Themselves to Use Tools,10,1,1,1.0,24.08
Q08,"How does Toolformer autonomously decide when and how to call external APIs such as a calculator, Wikipedia search, or calendar?",mmr_lambda_0.7,2302.04761,Toolformer: Language Models Can Teach Themselves to Use Tools,10,1,1,1.0,24.94
Q08,"How does Toolformer autonomously decide when and how to call external APIs such as a calculator, Wikipedia search, or calendar?",hybrid_dense_bm25_rrf,2302.04761,Toolformer: Language Models Can Teach Themselves to Use Tools,1,1,1,1.0,39.69
Q08,"How does Toolformer autonomously decide when and how to call external APIs such as a calculator, Wikipedia search, or calendar?",hybrid_dense_bm25_rrf+reranker,2302.04761,Toolformer: Language Models Can Teach Themselves to Use Tools,1,1,1,1.0,732.5
Q09,What is the ReAct framework and how does it interleave thought rationales with action execution for LLM agents?,dense_cosine,2210.03629,ReAct: Synergizing Reasoning and Acting in Language Models,9,1,1,1.0,22.13
