paper_id,title,category,year,authors,source,file_name
1706.03762,Attention Is All You Need,Transformer Architecture,2017,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Lukasz Kaiser, Illia Polosukhin",https://arxiv.org/abs/1706.03762,1706.03762_Attention_Is_All_You_Need.pdf
1810.04805,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Language Representation,2018,"Jacob Devlin, Ming-Wei Chang, Kenton Lee, Kristina Toutanova",https://arxiv.org/abs/1810.04805,1810.04805_BERT.pdf
2005.14165,Language Models are Few-Shot Learners,Large Language Models,2020,"Tom B. Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared Kaplan, Prafulla Dhariwal, et al.",https://arxiv.org/abs/2005.14165,2005.14165_GPT3_Few_Shot_Learners.pdf
1908.10084,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,Embeddings and Semantic Search,2019,"Nils Reimers, Iryna Gurevych",https://arxiv.org/abs/1908.10084,1908.10084_Sentence_BERT.pdf
2004.04906,Dense Passage Retrieval for Open-Domain Question Answering,Information Retrieval,2020,"Vladimir Karpukhin, Barlas Oguz, Sewon Min, Patrick Lewis, Ledell Wu, Sergey Edunov, Danqi Chen, Wen-tau Yih",https://arxiv.org/abs/2004.04906,2004.04906_Dense_Passage_Retrieval.pdf
2005.11401,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,RAG Foundation,2020,"Patrick Lewis, Ethan Perez, Aleksandara Piktus, Fabio Petroni, Vladimir Karpukhin, Naman Goyal, et al.",https://arxiv.org/abs/2005.11401,2005.11401_Retrieval_Augmented_Generation.pdf
2107.13586,"Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natural Language Processing",Prompting Methods,2021,"Pengfei Liu, Weizhe Yuan, Jinlan Fu, Zhengbao Jiang, Hiroaki Hayashi, Graham Neubig",https://arxiv.org/abs/2107.13586,2107.13586_Prompting_Survey.pdf
2201.11903,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Reasoning and CoT,2022,"Jason Wei, Xuezhi Wang, Dale Schuurmans, Maarten Bosma, Fei Xia, Ed Chi, Quoc V. Le, Denny Zhou",https://arxiv.org/abs/2201.11903,2201.11903_Chain_of_Thought_Reasoning.pdf
2302.04761,Toolformer: Language Models Can Teach Themselves to Use Tools,Tool Use and Function Calling,2023,"Timo Schick, Jane Dwivedi-Yu, Roberto Dessi, Roberta Raileanu, Maria Lomeli, Luke Zettlemoyer, Nicola Cancedda, Thomas Scialom",https://arxiv.org/abs/2302.04761,2302.04761_Toolformer.pdf
2210.03629,ReAct: Synergizing Reasoning and Acting in Language Models,AI Agents,2022,"Shunyu Yao, Jeffrey Zhao, Dian Yu, Nan Du, Izhak Shafran, Karthik Narasimhan, Yuan Cao",https://arxiv.org/abs/2210.03629,2210.03629_ReAct_Reasoning_And_Acting.pdf
2307.03172,Lost in the Middle: How Language Models Use Long Contexts,Long-Context Behavior,2023,"Nelson F. Liu, Kevin Lin, John Hewitt, Ashwin Paranjape, Michele Bevilacqua, Fabio Petroni, Percy Liang",https://arxiv.org/abs/2307.03172,2307.03172_Lost_in_the_Middle.pdf
2310.11511,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",Advanced RAG,2023,"Akari Asai, Zeqiu Wu, Yizhong Wang, Avirup Sil, Hannaneh Hajishirzi",https://arxiv.org/abs/2310.11511,2310.11511_Self_RAG.pdf
2312.10997,Retrieval-Augmented Generation for Large Language Models: A Survey,Modular RAG Survey,2023,"Yunfan Gao, Yun Xiong, Xinyu Gao, Kangxiang Jia, Jinliu Pan, Yuxi Bi, Yi Dai, Jiawei Sun, Meng Wang, Haofen Wang",https://arxiv.org/abs/2312.10997,2312.10997_RAG_Comprehensive_Survey.pdf
2309.15217,RAGAS: Automated Evaluation of Retrieval Augmented Generation,LLM and RAG Evaluation,2023,"Shahul Es, Jithin James, Luis Espinosa-Anke, Steven Schockaert",https://arxiv.org/abs/2309.15217,2309.15217_RAGAS_Automated_Evaluation.pdf
2311.05232,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",Hallucination and Reliability,2023,"Lei Huang, Weijiang Yu, Weitao Ma, Weihong Zhong, Zhangyin Feng, Haotian Wang, et al.",https://arxiv.org/abs/2311.05232,2311.05232_Hallucination_in_LLMs_Survey.pdf
